Name,Address,City,State,Zip Code,Latitude,Longitude,Category,Review Count,Rating
Indigo,"900 Rue Saint-Antoine Ouest Montreal, QC H3B 3A7 Canada",Montreal,QC,H3B 3A7,45.49865041170583,-73.56442871969774,Parking,0,0.0
Indigo,"1445 Rue Stanley Montreal, QC H3A 3T1 Canada",Montreal,QC,H3A 3T1,45.49982616,-73.57450058,Parking,0,0.0
Indigo,"2061 Rue Stanley Montreal, QC H3A 0B7 Canada",Montreal,QC,H3A 0B7,45.500832,-73.576493,Parking,0,0.0
Indigo,"900 Boulevard de Maisonneuve Ouest Montreal, QC H3A 0A5 Canada",Montreal,QC,H3A 0A5,45.501890127942815,-73.57360947,Parking,0,0.0
EyePark,"3535 Chemin Queen Mary Montreal, QC H3V 1H8 Canada",Montreal,QC,H3V 1H8,45.49578902663838,-73.61908791836413,Parking,0,0.0
Indigo,"904 Rue Belmont Montreal, QC H3B 2M4 Canada",Montreal,QC,H3B 2M4,45.50025779,-73.5668144,Parking,0,0.0
Indigo,"1035 Rue Hermine Montreal, QC H2Z 1M9 Canada",Montreal,QC,H2Z 1M9,45.50340455,-73.56263314,Parking,0,0.0
Indigo,"1180 Rue de la Montagne Hôtel Novotel Montreal, QC H3G 1Z1 Canada",Montreal,QC,H3G 1Z1,45.49696613435592,-73.57342891845472,Parking,0,0.0
Indigo,"800 Rue de la Gauchetière O Montreal, QC H5A 1K6 Canada",Montreal,QC,H5A 1K6,45.499465,-73.56501,Parking,0,0.0
Indigo,"1100 Boulevard René-Lévesque O Montreal, QC H3B 5H5 Canada",Montreal,QC,H3B 5H5,45.49777074,-73.57001554781571,Parking,0,0.0
Indigo,"721 Avenue Viger Ouest Montreal, QC H3B 4L5 Canada",Montreal,QC,H3B 4L5,45.501157769398326,-73.56416395730552,Parking,0,0.0
INDIGO,"1 Place Ville Marie Bureau 9275 Montreal, QC H3B 4E5 Canada",Montreal,QC,H3B 4E5,45.5014758,-73.5692531,Parking,0,0.0
Indigo,"230 Rue du Saint Sacrement Montreal, QC H2Y 1X3 Canada",Montreal,QC,H2Y 1X3,45.50268078047426,-73.556702,Parking,0,0.0
Indigo,"1275 Avenue des Canadiens Montreal, QC H3B 5E8 Canada",Montreal,QC,H3B 5E8,45.49676684,-73.5707536,Parking,0,0.0
Indigo,"1225 Boulevard Robert-Bourassa Montreal, QC H3B 3X4 Canada",Montreal,QC,H3B 3X4,45.50241720368369,-73.5680709903114,Parking,0,0.0
INDIGO,"1199 Rue Peel Montreal, QC H3B 2T9 Canada",Montreal,QC,H3B 2T9,45.499648,-73.57169,Parking,0,0.0
Indigo,"1570 Rue Saint-Timothée Montreal, QC H2L 3N9 Canada",Montreal,QC,H2L 3N9,45.5179508,-73.55987207,Parking,0,0.0
Safeway Parking,"1201 Rue de la Montagne Montreal, QC H3G 1Z2 Canada",Montreal,QC,H3G 1Z2,45.4976392559433,-73.57383582215559,Parking,1,1.0
INDIGO,"1155 Rue Metcalfe Montreal, QC H3B 2V6 Canada",Montreal,QC,H3B 2V6,45.50036735887289,-73.57118869,Parking,0,0.0
